Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
18823;TESTE ACAI PETRUZ PUR22 SR OPCA 5KG CX EX;KG;PESQUISA E DESENV.;;;;;;
18825;ACAI REPROCESSO PUR30 OPCAO BD;KG;REPROCESSO;;;;;;
18826;ACAI REPROCESSO PUR30 OPCAO TB;KG;REPROCESSO;;;;;;
18827;ACAI PETRUZ PRE14 SR CNSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
18828;ACAI PETRUZ PRE14 SR CNSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
18845;BALDE REDONDO ACAI SUNSET 3,6L;UN;EMBALAGEM;;;;;;
18846;POTE ACAI SUNSET ROXO S IMPRESSAO 1,5L;UN;EMBALAGEM;;;;;;
18847;TAMPA POTE ACAI SUNSET 1,5L;UN;EMBALAGEM;;;;;;
18848;POTE ACAI SUNSET GUARANA 200G;UN;EMBALAGEM;;;;;;
18849;POTE ACAI SUNSET MORANGO 200G;UN;EMBALAGEM;;;;;;
18850;POTE ACAI SUNSET BANANA 200G;UN;EMBALAGEM;;;;;;
18851;CINTA ACAI SUNSET GUARANA 1,5L;UN;EMBALAGEM;;;;;;
18854;CUPUACU PETRUZ INT10 SR CPSA 1KG SC40;SC;P.A. FRUTAS;;;;;;
18855;PITAYA PETRUZ INT10 SR CPSA 1KG SC40;SC;P.A. FRUTAS;;;;;;
18861;ACAI PETRUZ PUR30 SR CPSA 200G;UND;PRODUTO ELABORACAO;;;;;;
18865;TESTE PED ACAI BLANK PRE14 SR OPCL 180G EX;KG;PESQUISA E DESENV.;;;;;;
18866;TESTE PED ACAI GUARANA HOLY BERRY CLA18 SR OPCL 180G EX;KG;PESQUISA E DESENV.;;;;;;
18867;BATERIA MOTOROLA 1300MAH 3.6V;UN;BENS PEQUENO VALOR;;;;;;
18868;ACAI DU PARA GUA27 SR CPSA 5KG CX;CX;P.A. SORBET;;;;;;
18870;CALDA ACAI PELLET AMAZONIA PTY STA10 SR OPCA 18KG;KG;SEMI ELABORADO;;;;;;
18882;CAIXA PAPELAO S IMPRESSAO 288 X 188 X 246 MM 6,4KG;UN;EMBALAGEM;;;;;;
18893;ABRACADEIRA ROSCA S FIM 3/8;UN;MATERIAL MANUTENCAO;;;;;;
18894;RELE SOBRECARGA WEG RW27 2.8-4A;UN;MATERIAL MANUTENCAO;;;;;;
18895;ACAI REPROCESSO GUA30 SR OPCAO BD;KG;REPROCESSO;;;;;;
18896;ACAI REPROCESSO GUA30 SR OPCAO TB;KG;REPROCESSO;;;;;;
18898;CALDA ACAI NECTAR FRUITS GUA27 SR CPCA 18KG BD EX;BD;SEMI ELABORADO;;;;;;
18902;ACAI NECTAR FRUITS GUA27 SR CPCA 5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
18903;ACAI NECTAR FRUITS BAN27 SR CPCA 5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
18904;CALDA ACAI NECTAR FRUITS BAN27 SR CPCA TB EX;KG;SEMI ELABORADO;;;;;;
18908;CAIXA MIX NECTAR FRUITS 5L;UN;EMBALAGEM;;;;;;
18914;FILME PITAYA PETRUZ 1KG;KG;EMBALAGEM;;;;;;
18915;FILME PITAYA PETRUZ 400G;KG;EMBALAGEM;;;;;;
18916;FILME PITAYA PETRUZ 100G;KG;EMBALAGEM;;;;;;
18920;DISJUNTOR MOTOR PKZM 4-6.3A;UN;MATERIAL MANUTENCAO;;;;;;
18921;BLOCO CONTATO AUXILIAR NHI-E-11PKZ0;UN;MATERIAL MANUTENCAO;;;;;;
18923;CONTATO AUXILIAR FRONTAL 4NA DIL A-XHI40;UN;MATERIAL MANUTENCAO;;;;;;
18924;CONEXAO PARTIDA DIRETA PKZM0-XDM12;UN;MATERIAL MANUTENCAO;;;;;;
18926;ACAI REPROCESSO GUA25 TB;KG;REPROCESSO;;;;;;
18927;ACAI REPROCESSO GUA25 BD;KG;REPROCESSO;;;;;;
18930;JOGO VEDACAO 4FE;UN;MATERIAL MANUTENCAO;;;;;;
18935;ETIQUETA ADESIVA SOFT PUR30 AMAZONIA PTY XAROPE BAG 5KG;UN;EMBALAGEM;;;;;;
18936;ETIQUETA ADESIVA SOFT PUR30 AMAZONIA PTY XAROPE BAG 5KG CX2;UN;EMBALAGEM;;;;;;
18937;ACAI PETRUZ CLA12 SR CPSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
18938;CALDA ACAI NECTAR FRUITS BAN27 SR CPCA BD;BD;SEMI ELABORADO;;;;;;
18939;ACAI GUARANA PELLET PETRUZ CLA12 SR OPCA 8G 5KG CX3 EX;CX;P.A. B MISTA EXPORT;;;;;;
18943;SACO BOPP MATTE + PIG BRANCO PITAYA FOODS PELLET 203 X 225 X 30 MM 340G;UN;EMBALAGEM;;;;;;
18944;CALDA ACAI GUARANA PETRUZ CLA12 SR OPCA BD EX;KG;SEMI ELABORADO;;;;;;
18945;MOLDE BOMBOM QUADRADO 11ML 38 CAVIDADES;UN;MATERIAL MANUTENCAO;;;;;;
18946;POTE PAPEL ACAI SONAE GUARANA TAMPA 500G;UN;EMBALAGEM;;;;;;
18947;ACAI SONAE GUA27 SR OPCAO 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
18949;CALDA ACAI SOFT PETRUZ PUR22 SR CPCA 1KG CX6 EX;CX;P.A. SORBET EXPORT;;;;;;
18951;CAIXA PAPELAO S IMPRESSAO 498 X 204 X 175MM 4KG;UN;EMBALAGEM;;;;;;
18953;CALDA ACAI SOFT PETRUZ PUR22 SR CPCA 1KG EX;UN;PRODUTO ELABORACAO;;;;;;
18965;ESPACADOR COD 133289;UN;MATERIAL MANUTENCAO;;;;;;
18968;ACAI REPROCESSO STA10 SR OPCA BD;KG;REPROCESSO;;;;;;
18969;ACAI REPROCESSO STA10 SR OPCA TB;KG;REPROCESSO;;;;;;
18971;ACAI PELLET PETRUZ CLA12 SR OPCA 8G 4,5KG CX2 EX;CX;P.A. ACAI EXPORT;;;;;;
18972;AVENTAL PVC COM CORDAO FITILHO TRANSPARENTE CA 44668;UN;SESMT;;;;;;
18977;ACAI ALMALIBRE GUA25 SR OPCA 5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
18978;ACAI GUARANA PELLET SUPERFRUIT CLA18 SR OPCA 8G EX;KG;PRODUTO ELABORACAO;;;;;;
18982;BOIA PENDULO DE PVC 3\4;UN;MATERIAL MANUTENCAO;;;;;;
18989;CAIXA PAPELAO CUBOS S IMPRESSAO 305 X 432 X 178MM 9KG;UN;EMBALAGEM;;;;;;
18990;GAS NITROGENIO DE 10 METROS;UN;MATERIAL MANUTENCAO;;;;;;
18991;ACAI NECTAR FRUITS CLA12 SR OPCA 100G CX60 EX;CX;P.A. ACAI EXPORT;;;;;;
18992;ACAI GUARANA NECTAR FRUITS CLA18 SR OPCA 100G CX60 EX;CX;P.A. B MISTA EXPORT;;;;;;
18993;ACAI NECTAR FRUITS CLA12 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
18994;ACAI GUARANA NECTAR FRUITS CLA18 SR OPCA 100G EX;UND;PRODUTO ELABORACAO;;;;;;
18995;FILME NECTAR FRUITS PURO 100G;KG;EMBALAGEM;;;;;;
18996;FILME GUARANA NECTAR FRUITS 100G;KG;EMBALAGEM;;;;;;
18997;ACAI PELLET PITAYA FOODS CLA12 SR OPCA 8G EX;KG;PRODUTO ELABORACAO;;;;;;
18998;CALDA ACAI ALMALIBRE GUA25 SR OPCA BD;KG;SEMI ELABORADO;;;;;;
19000;ETIQUETA ADESIVA PELLET PITAYA FOODS CAIXA 9KG;UN;EMBALAGEM;;;;;;
19003;ACAI PELLET BLANK CLA12 SR OPCA 8G 1KG CX6 EX;CX;P.A. ACAI EXPORT;;;;;;
19004;ACAI PETRUZ CLA12 SR CPSA 5KG SC8;SC;P.A. ACAI;;;;;;
19010;"FILTRO SECADOR DML 167S 7/8"" SOLDA";UN;MATERIAL MANUTENCAO;;;;;;
19013;CANETA CD;UN;MATERIAL MARKETING;;;;;;
19020;"CABECOTE ALUMINIO 1""";UN;MATERIAL MANUTENCAO;;;;;;
19023;"ESCOVA ACO ROTATIVA LIXADEIRA 7""";UN;MATERIAL MANUTENCAO;;;;;;
19033;ACAI PELLET ALASKO CLA12 SR OPCA 8G 9KG CX1 EX;CX;P.A. ACAI EXPORT;;;;;;
19034;ACAI PELLET ALASKO CLA12 SR OPCA 8G EX;UN;PRODUTO ELABORACAO;;;;;;
19035;ACAI SOFT AMAZONIA PTY AUS PUR30 SR OPCA 3,3KG CX3 EX;CX;P.A. SORBET EXPORT;;;;;;
19040;CAIXA ACAI AMAZONIA PTY NEW SCOOPABLE 501 X 205 X 175MM 9,9KG;UN;EMBALAGEM;;;;;;
19050;ACAI PELLET BLANK CLA12 SR OPCA 8G 1KG EX;KG;PRODUTO ELABORACAO;;;;;;
19051;LUVA NITRILICA CANO LONGO 45CM PROTECAO QUIMICA G;CX;SESMT;;;;;;
19052;ACAI GUARANA PELLET BLANK CLA18 SR OPCA 8G 5KG EX;KG;PRODUTO ELABORACAO;;;;;;
19056;ACAI IB BAN27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
19057;ACAI IB MOR27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
19058;ACAI IB GUA27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
19059;TESTE PED ACAI PETRUZ GUA27 SR CNCA 2L EX;KG;PESQUISA E DESENV.;;;;;;
19061;DPS FRONT 175V 20KA;UN;MATERIAL MANUTENCAO;;;;;;
19076;ETIQUETA IB COMPANY GUARANA 500G;UN;EMBALAGEM;;;;;;
19077;ETIQUETA IB COMPANY MORANGO 500G;UN;EMBALAGEM;;;;;;
19078;ETIQUETA IB COMPANY BANANA 500G;UN;EMBALAGEM;;;;;;
19083;FITA BAIXA TENSAO ISOLANTE 3M CLASSE A 20MT;UN;MATERIAL MANUTENCAO;;;;;;
19088;SENSOR NIVEL LA 16M-40;UN;MATERIAL MANUTENCAO;;;;;;
19089;PORCELANATO 71 X 71;UN;MATERIAL CONSTRUCAO;;;;;;
19092;ACAI REBAR CLA12 SR CPSA 100G CX64 EX;CX;P.A. ACAI EXPORT;;;;;;
19099;FILTRO OLEO GVD 45/65/85;UN;MATERIAL MANUTENCAO;;;;;;
19100;TESTE PED ACAI NECTAR FRUITS GUA27 SR CPCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19101;ACAI REBAR CLA12 SR CPSA 18KG BD EX;BD;P.A. ACAI EXPORT;;;;;;
19102;"SAPATILHA CABO ACO 3/8""";UN;MATERIAL MANUTENCAO;;;;;;
19104;ACAI REBAR CLA12 SR CPSA 100G EX;UND;PRODUTO ELABORACAO;;;;;;
19106;ACAI SANTA HELENA STA8 SR 1,002KG;KG;PRODUTO ELABORACAO;;;;;;
19107;ACAI SANTA HELENA STA12 SR 1,002KG;UN;PRODUTO ELABORACAO;;;;;;
19108;ACAI SANTA HELENA STA14 SR 1,002KG;UN;PRODUTO ELABORACAO;;;;;;
19116;ACAI GUARANA HOLY BERRY CLA18 SR OPCA 100G CX64 EX;CX;P.A. B MISTA EXPORT;;;;;;
19118;ACAI HOLY BERRY PRE14 SR OPCA 100G CX64 EX;CX;P.A. B MISTA EXPORT;;;;;;
19124;ETIQUETA ADESIVA ACAI GUARANA HOLY BERRY;UN;EMBALAGEM;;;;;;
19125;ETIQUETA ADESIVA ACAI HOLY BERRY PREMIUM;UN;EMBALAGEM;;;;;;
19136;PERFIL U 40X40X40 INOX;UN;MATERIAL MANUTENCAO;;;;;;
19138;"CHUVEIRINHO 5/8"" COM 5 SAIDAS 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
19147;ACAI PELLET AMAZONIA PTY STA10 SR OPCA 6G 400G CX8 EX;CX;P.A. ACAI EXPORT;;;;;;
19148;ACAI PELLET ADOCADO AMAZONIA PTY STA10 SR OPCA 6G 400G CX8 EX;CX;P.A. ACAI EXPORT;;;;;;
19149;ACAI PELLET AMAZONIA PTY STA10 SR OPCA 6G EX;KG;PRODUTO ELABORACAO;;;;;;
19150;ACAI PELLET ADOCADO AMAZONIA PTY STA10 SR OPCA 6G EX;KG;PRODUTO ELABORACAO;;;;;;
19151;SACO ACAI PELLET AMAZONIA PTY PURE 400G;UN;EMBALAGEM;;;;;;
19152;SACO ACAI PELLET AMAZONIA PTY ORIGINAL 400G;UN;EMBALAGEM;;;;;;
19154;ANEL O RING 55X3 PB 516333;UN;MATERIAL MANUTENCAO;;;;;;
19156;PLACA NM045-H 304 NDB4964104;UN;MATERIAL MANUTENCAO;;;;;;
19164;REPROCESSO CALDA LIO CLA12 OPCA BD;KG;REPROCESSO;;;;;;
19170;FILME  ACAI PETRUZ ZERO 400G;KG;EMBALAGEM;;;;;;
19173;CAIXA PAPELAO ACAI PELLET AMAZONIA PTY ORIGINAL RT 320 X 170 X 160 MM 3,2KG;UN;EMBALAGEM;;;;;;
19174;CAIXA PAPELAO ACAI PELLET AMAZONIA PTY PURE RT 320 X 170 X 160 MM 3,2KG;UN;EMBALAGEM;;;;;;
19175;ETIQUETA ADESIVA METALICA;UN;MATERIAL USO CONSUMO;;;;;;
19183;"DISCO DESBASTE 7""";UN;MATERIAL MANUTENCAO;;;;;;
19184;ACAI GUARANA PELLET PETRUZ CLA18 SR OPCA 8G 4,5KG CX2 EX;CX;P.A. ACAI EXPORT;;;;;;
19185;CAIXA PAPELAO S IMPRESSAO 498 X 238 X 156 MM 10KG;UN;EMBALAGEM;;;;;;
19195;SOLDA TIG INOX 3.2MM;KG;MATERIAL MANUTENCAO;;;;;;
19225;ACAI PETRUZ CLA12 SR ONSA 1KG CX6 EX;CX;P.A. ACAI EXPORT;;;;;;
19227;ACAI SANTA HELENA STA8 SR 1,002KG SC40;SC;P.A. ACAI;;;;;;
19228;ACAI SANTA HELENA STA12 SR 1,002KG SC40;SC;P.A. ACAI;;;;;;
19229;ACAI SANTA HELENA STA14 SR 1,002KG SC40;SC;P.A. ACAI;;;;;;
19241;CAIXA MIX PURO NECTAR FRUITS 5L;UN;EMBALAGEM;;;;;;
19242;ACAI PETRUZ LIO SR CPSA 4KG EX;UND;P.A. ACAI EM PO;;;;;;
19244;TESTE PED ACAI PETRUZ CLA12 SR OPCA 400G EX;KG;PESQUISA E DESENV.;;;;;;
19245;ACAI GUARANA PELLET PETRUZ PRE20 SR OPSA 4G;KG;PRODUTO ELABORACAO;;;;;;
19247;TESTE PED ACAI AMAZONIA PTY GUA30 SR OPCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19255;ACAI ALMALIBRE GUA22 SR OPCA 1KG;KG;PRODUTO ELABORACAO;;;;;;
19270;TESTE PED ACAI PETRUZ ZERO PUR30 SR CNCA 5L EX;KG;PESQUISA E DESENV.;;;;;;
19274;ACAI PELLET PETRUZ PRE14 SR OPSA 4G EX;KG;PRODUTO ELABORACAO;;;;;;
19278;ACAI REBAR CLA12 SR CPSA 400G CX16 EX;CX;P.A. ACAI EXPORT;;;;;;
19282;ACAI SANTA HELENA CLA11 SR 1,002KG SC40;SC;P.A. ACAI;;;;;;
19283;ACAI SANTA HELENA CLA11 SR 1,002KG;UN;PRODUTO ELABORACAO;;;;;;
19289;ACAI GUARANA PELLET PETRUZ CLA18 SR OPCA 8G;KG;PRODUTO ELABORACAO;;;;;;
19290;FILME ACAI REBAR SA 100G;KG;EMBALAGEM;;;;;;
19291;CAIXA MIX PITAYA NECTAR FRUITS 5L;UN;EMBALAGEM;;;;;;
19294;METALON INOX 30 X 30 X 2MM;UN;MATERIAL MANUTENCAO;;;;;;
19295;ETIQUETA ADESIVA PELLET GUARANA PITAYA FOODS CAIXA 9KG;UN;EMBALAGEM;;;;;;
19296;ACAI REBAR PUR30 SR CPSA 2,9KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
19298;MANGA PETRUZ INT12 SR CPSA 400G EX;UND;PRODUTO ELABORACAO;;;;;;
19300;FRUTOSE;KG;INSUMOS DIRETOS;;;;;;
19306;TINTA PISO CINZA CLARO 18LT - VELOZ;UN;MATERIAL MANUTENCAO;;;;;;
19309;TESTE PED ACAI PETRUZ ZERO PUR30 SR CNCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19310;TESTE CALDA ACAI NECTAR FRUITS PUR22 SR CPCA 2,9KG BD EX;BD;PESQUISA E DESENV.;;;;;;
19311;TESTE PED ACAI PETRUZ ZERO PUR30 SR CNCA 2,9KG BD EX;BD;PESQUISA E DESENV.;;;;;;
19313;ETIQUETA ADESIVA POTE SONAE 22 X 22MM;UN;EMBALAGEM;;;;;;
19315;VASSOURA NYLON CABO METAL VERDE;UN;MATERIAL LIMPEZA;;;;;;
19316;"BUCHA REDUCAO GALVANIZADA 4""X3""";UN;MATERIAL MANUTENCAO;;;;;;
19321;ACAI A3 CLA25 SR CPCA 500G EX;UND;PRODUTO ELABORACAO;;;;;;
19325;ACAI PELLET PETRUZ CLA12 SR OPCA 8G;KG;PRODUTO ELABORACAO;;;;;;
19328;CALDA ACAI ADOCADO AMAZONIA PTY STA10 SR OPCA 18KG BD;KG;SEMI ELABORADO;;;;;;
19330;FILME LISO LEITOSO PET APEX DUPLO 100G;KG;EMBALAGEM;;;;;;
19340;CONTATOR CWB 40A - 24V;UN;MATERIAL MANUTENCAO;;;;;;
19341;FONTE ALIMENTACAO  24V-10A;UN;MATERIAL MANUTENCAO;;;;;;
19342;RELE TEMPORIZADOR 1A3 MIN.;UN;MATERIAL MANUTENCAO;;;;;;
19349;EXTRATOR MOLDE BOMBOM 38 PINOS;UN;MATERIAL MANUTENCAO;;;;;;
19354;BALDE AMAZONIA PTY AUSTRALIA 3,6L EX;UN;EMBALAGEM;;;;;;
19355;TAMPA BALDE AMAZONIA PTY AUSTRALIA 3,6L EX;UN;EMBALAGEM;;;;;;
19359;DIVISORIA CAIXA PAPELAO 201 X 303 MM;UN;EMBALAGEM;;;;;;
19361;ACAI GUARANA PITAYA FOODS CLA18 SR OPCA 100G CX60 EX;CX;P.A. B MISTA EXPORT;;;;;;
19362;CAIXA PAPELAO PITAYA FOODS GUARANA FS 315 X 295 X 125 MM 6KG;UN;EMBALAGEM;;;;;;
19370;ETIQUETA ADESIVA AMAZONIA PTY AUS BALDE 3,3KG;UN;EMBALAGEM;;;;;;
19371;ETIQUETA ADESIVA AMAZONIA PTY AUS TAMPA 3,3KG;UN;EMBALAGEM;;;;;;
19372;FASE LOG E PLUS 04 380V;UN;MATERIAL MANUTENCAO;;;;;;
19373;CINTA ERGONOMICA GG;UN;SESMT;;;;;;
19377;ACAI NECTAR FRUITS CLA12 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
19378;SACO NECTAR FRUITS PURO 400G;UN;EMBALAGEM;;;;;;
19379;ACAI GUARANA NECTAR FRUITS CLA18 SR OPCA 400G CX15 EX;CX;P.A. B MISTA EXPORT;;;;;;
19381;SACO NECTAR FRUITS GUARANA 400G;UN;EMBALAGEM;;;;;;
19388;ACAI GUARANA PELLET BLANK CLA18 SR OPCA 8G 2,5KG CX3 EX;CX;P.A. B MISTA EXPORT;;;;;;
19389;ACAI PELLET BLANK CLA12 SR OPCA 8G 2,5KG CX3 EX;CX;P.A. ACAI EXPORT;;;;;;
19396;CJ VALVULA EXPANSAO ELETRONICA  E2 35;UN;MATERIAL MANUTENCAO;;;;;;
19397;ACAI NECTAR FRUITS GUA27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
19398;ACAI NECTAR FRUITS BAN27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
19399;ACAI REBAR PUR30 SR CPCA 2,9KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
19402;ETIQUETA ADESIVA ACAI GUARANA PITAYA FOODS FS;UN;EMBALAGEM;;;;;;
19403;ACAI PETRUZ LIO SR ONSA 3,6KG;UND;P.A. ACAI EM PO;;;;;;
19406;POTE PAPEL ACAI NECTAR FRUITS BANANA 500G EX;UN;EMBALAGEM;;;;;;
19407;POTE PAPEL ACAI NECTAR FRUITS GUARANA 500G EX;UN;EMBALAGEM;;;;;;
19410;CAIXA PAPELAO SEM IMPRESSAO TABULEIRO 300 X 200 X 220 MM 6,0KG;UN;EMBALAGEM;;;;;;
19415;TESTE PED ACAI MONTONE GUA26 SR CPCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19416;ACAI PETRUZ GUA27 SR OPCA 5KG CX EX;CX;P.A. B MISTA EXPORT;;;;;;
19421;JOELHO PVC SOLDAVEL 45º 20MM;UN;MATERIAL MANUTENCAO;;;;;;
19427;CORREIA B82;UN;MATERIAL MANUTENCAO;;;;;;
19428;ETIQUETA ADESIVA ACAI GUARANA PELLET AMAZONIA PTY 7,5KG CAIXA;UN;EMBALAGEM;;;;;;
19429;ETIQUETA ADESIVA ACAI GUARANA PELLET AMAZONIA PTY 2,5KG BAG;UN;EMBALAGEM;;;;;;
19433;LUVA NITRILICA CANO LONGO 45CM PROTECAO QUIMICA M;UN;SESMT;;;;;;
19436;RESISTENCIA BANDEJA 2,4MT 220V 750W;UN;MATERIAL MANUTENCAO;;;;;;
19438;RESISTENCIA NUCLEO 2,7MT 220V 750W;UN;MATERIAL MANUTENCAO;;;;;;
19442;RETENTOR 32 X 44 X 7;UN;MATERIAL MANUTENCAO;;;;;;
19445;ACAI EBBA CLA12 SR OPCA 180KG TB;TB;P.A. ACAI;;;;;;
19446;CONTROLADOR MODULAR N20K48;UN;MATERIAL MANUTENCAO;;;;;;
19447;MODULO DOCK N20K48;UN;MATERIAL MANUTENCAO;;;;;;
19448;MICRO MODULO CLICKNGO CCG-1 AO;UN;MATERIAL MANUTENCAO;;;;;;
19450;ACAI GUARANA PELLET BLANK CLA18 SR OPCA 8G;KG;SEMI ELABORADO;;;;;;
19451;ACAI PELLET BLANK CLA12 SR OPCA 8G;KG;SEMI ELABORADO;;;;;;
19459;TERMOPAR TIPO PT100 3FIOS SONDA TEMPERATURA IMPERMEAVEL;UN;MATERIAL MANUTENCAO;;;;;;
19461;TESTE PED ACAI KAIKRO GUA27 SR CPCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19462;TESTE PED ACAI KAIKRO PUR26 SR CPCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19465;TESTE PED ABACAXI MIX CNSA 40G EX;KG;PESQUISA E DESENV.;;;;;;
19469;TESTE PED ACAI ROSE&RAMBLE GUA23 CPCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19470;ACAI SAFCO GUA27 SR CPCA 3,2KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
19476;ACAI GUARANA PETRUZ CLA18 SR OPCA 1KG CX6 EX;CX;P.A. B MISTA EXPORT;;;;;;
19477;ACAI GUARANA PETRUZ CLA18 SR OPCA 1KG EX;KG;PRODUTO ELABORACAO;;;;;;
19480;ACAI MONTONE GUA26 SR CPCA 3,2KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
19481;BASE ACAI MONTONE CONVENCIONAL TB EX;KG;SEMI ELABORADO;;;;;;
19482;BALDE RETANGULAR MONTONE 3,6L;UN;EMBALAGEM;;;;;;
19484;ACAI GUARANA PELLET AMAZONIA PTY STA16 SR OPCA 6G EX;KG;PRODUTO ELABORACAO;;;;;;
19490;ACAI AMAZONIA BEB06 SR CNSA 1,002KG SC40;SC;P.A. ACAI;;;;;;
19491;ACAI AMAZONIA BEB06 SR CNSA 1,002KG;UN;PRODUTO ELABORACAO;;;;;;
19495;BALDE RETANGULAR SAFCO 3,6L;UN;EMBALAGEM;;;;;;
19496;ACAI ALMALIBRE GUA25 SR OPCA 400G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
19498;ACAI ALMALIBRE PRE14 SR OPCA 400G CX18 EX;CX;P.A. ACAI EXPORT;;;;;;
19499;CAIXA ACAI ALMALIBRE PREMIUM 85 X 70 X 155 MM 400G;UN;EMBALAGEM;;;;;;
19501;TESTE PED ACAI AMAZONIA PTY PUR30 SR OPCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
19507;CURVA INOX 2;UN;MATERIAL MANUTENCAO;;;;;;
19510;RETENTOR 60X35X13;UN;MATERIAL MANUTENCAO;;;;;;
19517;RIBBON 33MMX600 NE230X PRETO OUT VJ;UN;MATERIAL MANUTENCAO;;;;;;
19520;TINTA ESMALTE SINTETICO PRATA 3,6L;UN;MATERIAL MANUTENCAO;;;;;;
19522;CALDA ACAI GUARANA AMAZONIA PTY STA16 SR OPCA 18KG BD EX;BD;SEMI ELABORADO;;;;;;
19524;TAMBOR NOVO EBBA 210L;UN;EMBALAGEM;;;;;;
19525;TAMBOR REFORMADO EBBA 210L;UN;EMBALAGEM;;;;;;
19545;ACAI PETRUZ BAN27 SR CPCA 2,9KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
19548;ACAI CORACAI GUA27 SR OPCA 5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
19550;CALDA ACAI AMAZONIA PTY PUR30 SR OPCA 18KG BD EX;BD;SEMI ELABORADO;;;;;;
19552;REPARO CAMOZZI K 02-60-100 60AH 7020476;UN;MATERIAL MANUTENCAO;;;;;;
19557;ACAI ASPB BLANK CLA12 SR ONSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
19558;ACAI ASPB BLANK CLA12 SR CNSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
19567;SERRA COPO 1 1/4;UN;MATERIAL MANUTENCAO;;;;;;
19576;"Y GALVANIZADO 1""";UN;MATERIAL MANUTENCAO;;;;;;
19578;TESTE PED ACAI PETRUZ LIO SR OPCA 1KG EX;KG;PESQUISA E DESENV.;;;;;;
19579;ACAI PONTHIER PRE14 SR OPCL 18KG BD EX;BD;P.A. ACAI EXPORT;;;;;;
19582;PARAFUSO M5X6MM TAMPA DEFLETORA;UN;MATERIAL MANUTENCAO;;;;;;
19589;ACAI PITAYA FOODS CLA12 SR OPCA 100G CX60 EX;CX;P.A. ACAI EXPORT;;;;;;
19597;CORRENTE STIHL 3/8 RM ELO 5;UN;MATERIAL MANUTENCAO;;;;;;
19598;LIMA REDONDA 3/8;UN;MATERIAL MANUTENCAO;;;;;;
19605;REVESTIMENTO TERMICO BD 18KG MAZATHERMIC;UN;MATERIAL CONSTRUCAO;;;;;;
19608;INTERRUPTOR LIGA DESLIGA MAQUINA COSTURA;UN;MATERIAL MANUTENCAO;;;;;;
19611;ETIQUETA PELLET AMAZONIA PTY EUR STA10 SR OPCA 4G 2,5KG;UN;EMBALAGEM;;;;;;
19612;ETIQUETA PELLET AMAZONIA PTY EUR STA10 SR OPCA 4G 2,5KG CX3;UN;EMBALAGEM;;;;;;
19613;DRYKO MANTA POLIALUM TIPO II 4 MM;MT;MATERIAL MANUTENCAO;;;;;;
19623;"ABRACADEIRA SUPORTE 304 COMPLETA 2 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
19625;"SERRA COPO VIDEA 2""";UN;MATERIAL MANUTENCAO;;;;;;
19647;ACAI EBBA CLA12 SR OPCA 18KG BD;BD;P.A. ACAI;;;;;;
19648;ESTATOR 1HT32 NBRA;UN;MATERIAL MANUTENCAO;;;;;;
19649;LONA PRETA 8X100M;M;MATERIAL USO CONSUMO;;;;;;
19668;KIT ANIVERSARIANTE PETRUZ 3,6KG CX;UN;BRINDES;;;;;;
19688;ACAI PRECATORIOS LIO SR CNSA 4KG;UND;P.A. ACAI EM PO;;;;;;
19692;"TUBO INOX 304 SCH 10 1.1/2"" 48,26 2,77MM C/C";UN;MATERIAL MANUTENCAO;;;;;;
19693;ACAI PRECATORIOS LIO SR CNSA 200G EX;UND;P.A. ACAI EM PO;;;;;;
