Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
00553;ACAI IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00554;ACAI IN NATURA ORGANICO;KG;MAT PRIMA IN NATURA;;;;;;
00555;ACIDO CITRICO;KG;INSUMOS DIRETOS;;;;;;
00556;ACUCAR CRISTAL CONVENCIONAL;KG;INSUMOS DIRETOS;;;;;;
00557;ACUCAR CRISTAL ORGANICO;KG;INSUMOS DIRETOS;;;;;;
00567;LBG 25KG;KG;INSUMOS DIRETOS;;;;;;
00579;MALTITOL CRISTALINO 25KG;KG;INSUMOS DIRETOS;;;;;;
00581;MONOESTEARATO 25KG;KG;INSUMOS DIRETOS;;;;;;
00590;EXTRATO SECO GUARANA ORGANICO 25KG;KG;INSUMOS DIRETOS;;;;;;
00592;POLIDEXTROSE 25KG;KG;INSUMOS DIRETOS;;;;;;
00593;PROTEINA DE SOJA 20KG;KG;INSUMOS DIRETOS;;;;;;
00594;PURE BANANA 20KG;KG;INSUMOS DIRETOS;;;;;;
00596;GLICOSE MILHO 280KG;KG;INSUMOS DIRETOS;;;;;;
00597;GOMA GUAR 25KG;KG;INSUMOS DIRETOS;;;;;;
00599;STEVIA KG;KG;INSUMOS DIRETOS;;;;;;
00602;XILITOL CRISTALINO 25KG;KG;INSUMOS DIRETOS;;;;;;
00603;ALCOOL GEL 5LT;LT;INSUMOS INDIRETOS;;;;;;
00604;HIPOCLORITO SODIO;LT;INSUMOS INDIRETOS;;;;;;
00606;DETERGENTE ALCALINO DESINCRUSTANTE;LT;INSUMOS INDIRETOS;;;;;;
00607;SABONETE ANTISEPTICO 5LT;LT;INSUMOS INDIRETOS;;;;;;
00613;TIRA FERRUGEM 5L;LT;INSUMOS INDIRETOS;;;;;;
00616;DETERGENTE NEUTRO;LT;INSUMOS INDIRETOS;;;;;;
00618;ALCOOL 96% 1LT;LT;MATERIAL LIMPEZA;;;;;;
00620;BOM AR 360ML;UN;MATERIAL LIMPEZA;;;;;;
00621;ESCOVA CABO PLASTICO;UN;MATERIAL LIMPEZA;;;;;;
00624;ESPONJA LIMPEZA PESADA;UN;MATERIAL LIMPEZA;;;;;;
00625;ESPONJA DUPLA FACE;UN;MATERIAL LIMPEZA;;;;;;
00627;PANO MULTIUSO PERFEX;UN;MATERIAL LIMPEZA;;;;;;
00628;LIMPA VIDRO REFIL 500ML;UN;MATERIAL LIMPEZA;;;;;;
00630;LUSTRA MOVEIS 200ML;UN;MATERIAL LIMPEZA;;;;;;
00631;PA LIXO CABO;UN;MATERIAL LIMPEZA;;;;;;
00632;PANO CHAO;UN;MATERIAL LIMPEZA;;;;;;
00633;PAPEL HIGIENICO PERFUMADO;UN;MATERIAL LIMPEZA;;;;;;
00634;PAPEL HIGIENICO 300 X 10MM;UN;MATERIAL LIMPEZA;;;;;;
00635;PAPEL TOALHA CELULOSE VIRGEM;UN;MATERIAL LIMPEZA;;;;;;
00637;PORTA PAPEL HIGIENICO;UN;MATERIAL USO CONSUMO;;;;;;
00639;REFIL RODO MULTIFUNCIONAL;UN;MATERIAL LIMPEZA;;;;;;
00640;REFIL SABONETEIRA;UN;MATERIAL LIMPEZA;;;;;;
00641;RODO INDUSTRIAL;UN;MATERIAL LIMPEZA;;;;;;
00642;RODO MULTIFUNCIONAL;UN;MATERIAL LIMPEZA;;;;;;
00645;SABAO PO 500G;UN;MATERIAL LIMPEZA;;;;;;
00646;SABONETEIRA ABS RESERVATORIO BRANCA;UN;MATERIAL LIMPEZA;;;;;;
00647;SACO LIXO 100LT 5UN;PCT;MATERIAL LIMPEZA;;;;;;
00648;SACO LIXO 200LT 5UN;PCT;MATERIAL LIMPEZA;;;;;;
00649;SACO LIXO 50LT 10UN;PCT;MATERIAL LIMPEZA;;;;;;
00651;VASSOURA NYLON CABO METAL VERMELHO;UN;MATERIAL LIMPEZA;;;;;;
00652;VASSOURA PIACAVA;UN;MATERIAL LIMPEZA;;;;;;
00653;ESCOVA DENTES;UN;MATERIAL LIMPEZA;;;;;;
00654;ABRACADEIRA NYLON 160 X 3,6 MM BALDE 3,6L;UN;EMBALAGEM;;;;;;
00655;ABRACADEIRA NYLON 200 X 3,6 MM BALDE 22L;UN;EMBALAGEM;;;;;;
00657;ABRACADEIRA 280 X 4,8 MM TAMBOR;UN;EMBALAGEM;;;;;;
00662;BALDE BRANCO ALCA DE FERRO TAMPA 22L;UN;EMBALAGEM;;;;;;
00663;BALDE BRANCO TAMPA 22L;UN;EMBALAGEM;;;;;;
00664;BALDE BRANCO TAMPA 30L;UN;RECICLAGEM;;;;;;
00667;BALDE RETANGULAR TAMPA 12L;UN;EMBALAGEM;;;;;;
00668;BALDE RETANGULAR TAMPA 3,6L;UN;EMBALAGEM;;;;;;
00669;BARBANTE PLASTICO;CX;EMBALAGEM;;;;;;
00682;CAIXA DE ISOPOR 17L;UN;EMBALAGEM;;;;;;
00684;CAIXA DE ISOPOR 27L;UN;EMBALAGEM;;;;;;
00689;CAIXA DE ISOPOR 50L;UN;EMBALAGEM;;;;;;
00693;CAIXA DE ISOPOR 80L;UN;EMBALAGEM;;;;;;
00696;CAIXA MIX PETRUZ 10L;UN;EMBALAGEM;;;;;;
00697;CAIXA MIX PETRUZ 5L;UN;EMBALAGEM;;;;;;
00701;CAIXA PAPELAO ACAI AMAZONIA PTY ENERGY FS 315 X 295 X 125 MM 6KG;UN;EMBALAGEM;;;;;;
00703;CAIXA PAPELAO ACAI AMAZONIA PTY PURE FS 315 X 295 X 125 MM 6KG;UN;EMBALAGEM;;;;;;
00704;CAIXA PAPELAO ACAI ASC TROPICAL MARIA 312 X 312 X 183 MM 10KG;UN;EMBALAGEM;;;;;;
00705;CAIXA PAPELAO ACAI ATASTE 270 X 160 X 145 MM 3,2KG;UN;EMBALAGEM;;;;;;
00707;CAIXA PAPELAO ACAI TRADICIONAL TAMBOR ACAI 315 X 295 X 125 MM 6KG;UN;EMBALAGEM;;;;;;
00708;CAIXA PAPELAO ACAI ROOTS GUARANA 315 X 295 X 125 MM 6,4KG;UN;EMBALAGEM;;;;;;
00709;CAIXA PAPELAO ACAI SAO PEDRO UNIVERSAL 475 X 310 X 215 MM 20KG;UN;EMBALAGEM;;;;;;
00710;CAIXA PAPELAO BIO ACAI S IMPRESSAO 260 X 260 X 180 MM 4,8KG;UN;EMBALAGEM;;;;;;
00712;CAIXA PAPELAO PETRUZ 288 X 188 X 246 MM 6,4KG;UN;EMBALAGEM;;;;;;
00713;CAIXA PAPELAO ACAI ROOTS PURE 315X 295 X 125 MM 6,4KG;UN;EMBALAGEM;;;;;;
00714;FILME ACAI TAMBOR ACAI PURE 100G;KG;EMBALAGEM;;;;;;
00715;CAIXA PAPELAO S IMPRESSAO 270 X 160 X 145 MM 4KG;UN;EMBALAGEM;;;;;;
00717;CAIXA PAPELAO S IMPRESSAO 315 X 295 X 125 MM 6KG;UN;EMBALAGEM;;;;;;
00719;CANTONEIRA CAIXA GRANDE;UN;EMBALAGEM;;;;;;
00720;CANTONEIRA CAIXA MEDIA;UN;EMBALAGEM;;;;;;
00722;CANTONEIRA CAIXA PEQUENA;UN;EMBALAGEM;;;;;;
00731;CINTA ACAI PETRUZ SORBET GUARANA 1L;UN;EMBALAGEM;;;;;;
00732;CINTA ACAI PETRUZ SORBET GUARANA 2L;UN;EMBALAGEM;;;;;;
00743;ETIQUETA ADESIVA BOPP S IMPRESSAO 100 X 150MM;CX;EMBALAGEM;;;;;;
00744;ETIQUETA ADESIVA BOPP S IMPRESSAO 100 X 50 MM;CX;EMBALAGEM;;;;;;
00745;FILME ABACAXI PETRUZ 100G;KG;EMBALAGEM;;;;;;
00746;FILME ABACAXI PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00747;FILME ACAI A3 100G;KG;EMBALAGEM;;;;;;
00756;FILME ACAI AMAZON PLANET REAL PURE 100G;KG;EMBALAGEM;;;;;;
00759;FILME ACAI GUARANA ATASTE 100G;KG;EMBALAGEM;;;;;;
00772;FILME ACAI PETRUZ ZERO 100G;KG;EMBALAGEM;;;;;;
00773;FILME ACAI PETRUZ ESPECIAL 100G;KG;EMBALAGEM;;;;;;
00774;FILME ACAI PETRUZ MEDIO 100G;KG;EMBALAGEM;;;;;;
00775;FILME ACAI POLYFRUTTI FINO 1,02KG;KG;EMBALAGEM;;;;;;
00780;FILME ACAI REBAR 100G;KG;EMBALAGEM;;;;;;
00781;FILME ACAI ROOTS GUARANA 100G;KG;EMBALAGEM;;;;;;
00783;FILME ACAI SAO PEDRO ESPECIAL 1,02KG;KG;EMBALAGEM;;;;;;
00784;FILME ACAI SAO PEDRO ESPECIAL 100G;KG;EMBALAGEM;;;;;;
00785;FILME ACAI SAO PEDRO ESPECIAL 1KG;KG;EMBALAGEM;;;;;;
00789;FILME ACAI SAO PEDRO MEDIO 1,02KG;KG;EMBALAGEM;;;;;;
00790;FILME ACAI SAO PEDRO MEDIO 100G;KG;EMBALAGEM;;;;;;
00791;FILME ACAI SAO PEDRO MEDIO 1KG;KG;EMBALAGEM;;;;;;
00792;FILME ACAI SAO PEDRO MEDIO 5KG;KG;EMBALAGEM;;;;;;
00795;FILME ACAI SAO PEDRO POPULAR 1,02KG;KG;EMBALAGEM;;;;;;
00796;FILME ACAI SAO PEDRO POPULAR 100G;KG;EMBALAGEM;;;;;;
00798;FILME ACAI TAMBOR ACAI GUARANA 100G;KG;EMBALAGEM;;;;;;
